server,busy time
station1server1,0.368963545948364
station1server2,0.1503589539165557
station1server3,0.03114636203186321
station2server1,1.0087066562350426
station3server1,0.36669412277884744
station3server2,0.1476992634935095
station3server3,0.0360103329590396
station3server4,0.0046911831209999425
station4server1,0.5941809828176061
station4server2,0.3083434251071068
station4server3,0.11139005821858709
station5server1,0.610160617721024
station5server2,0.2542099593188541
station5server3,0.0014227280074657193
station5server4,0.0
station5server5,0.0
station5server6,0.0
station5server7,0.0
station5server8,0.0
